"ID"	"Authors"	"Title"	"Year"	"Source.title"	"Volume"	"Issue"	"clickable_doi"
"525f5d73"	"Kamp, A."	"Capitals and commitment: The case of a local learning and employment network"	2009	"Discourse"	"30"	"4"	"http://doi.org/10.1080/01596300903237230"
"95302ccc"	"Kujala, A."	"Illegal killing of soviet prisoners of war by finns during the finno-soviet continuation war of 1941-44"	2009	"Slavonic and East European Review"	"87"	"3"	"http://doi.org/"
"84512d01"	"Bobda, A.S."	"The meaning of English words across cultures, with a focus on Cameroon and Hong Kong"	2009	"Journal of Multilingual and Multicultural Development"	"30"	"5"	"http://doi.org/10.1080/01434630802147882"
"5e793ff8"	"Shepardson, C."	"Paschal politics: Deploying the Temple's destruction against fourth-century Judaizers"	2008	"Vigiliae Christianae"	"62"	"3"	"http://doi.org/10.1163/157007208X262866"
"9f1990cf"	"Wee, L."	"The technologization of discourse and authenticity in English language teaching"	2008	"International Journal of Applied Linguistics"	"18"	"3"	"http://doi.org/10.1111/j.1473-4192.2008.00207.x"
"6c5b8c36"	"Senju, A., Csibra, G., Johnson, M.H."	"Understanding the referential nature of looking: Infants' preference for object-directed gaze"	2008	"Cognition"	"108"	"2"	"http://doi.org/10.1016/j.cognition.2008.02.009"
"78295e65"	"Wallentin, M."	"Putative sex differences in verbal abilities and language cortex: A critical review"	2009	"Brain and Language"	"108"	"3"	"http://doi.org/10.1016/j.bandl.2008.07.001"
"d1b249ab"	"Milani, T.M."	"Language testing and citizenship: A language ideological debate in Sweden"	2008	"Language in Society"	"37"	"1"	"http://doi.org/10.1017/S0047404508080020"
"46486377"	"Moore, E., Podesva, R."	"Style, indexicality, and the social meaning of tag questions"	2009	"Language in Society"	"38"	"4"	"http://doi.org/10.1017/S0047404509990224"
"1a758581"	"Ménard, L., Schwartz, J.-L., Aubin, J."	"Invariance and variability in the production of the height feature in French vowels"	2008	"Speech Communication"	"50"	"1"	"http://doi.org/10.1016/j.specom.2007.06.004"
"0222ef49"	"Nureddeen, F.A."	"Cross cultural pragmatics: Apology strategies in Sudanese Arabic"	2008	"Journal of Pragmatics"	"40"	"2"	"http://doi.org/10.1016/j.pragma.2007.11.001"
"20d987e8"	"Marback, R."	"Embracing wicked problems: The turn to design in composition studies"	2009	"College Composition and Communication"	"61"	"2"	"http://doi.org/"
"b0931032"	"Sairio, A."	"Language and letters of the bluestocking network. Sociolinguistic issues in eighteenth-century epistolary English"	2009	"Neuphilologische Mitteilungen"	"110"	"4"	"http://doi.org/"
"070f8076"	"Tamaoka, K., Meyer, P., Makioka, S., Altmann, G."	"On the dynamics of the compounding of Japanese kanji with common and proper nouns"	2008	"Journal of Quantitative Linguistics"	"15"	"2"	"http://doi.org/10.1080/09296170801961801"
"f47a1a88"	"Clark, L."	"Re-examining vocalic variation in Scottish English: A Cognitive Grammar approach"	2008	"Language Variation and Change"	"20"	"2"	"http://doi.org/10.1017/S0954394508000094"
"9d6860b5"	"Tutton, M."	"When in means into: Towards an understanding of boundary-crossing in"	2009	"Journal of English Linguistics"	"37"	"1"	"http://doi.org/10.1177/0075424208329308"
"9fb2e058"	"Kehily, M.J., Nayak, A."	"Global femininities: Consumption, culture and the significance of place"	2008	"Discourse"	"29"	"3"	"http://doi.org/10.1080/01596300802259103"
"10e601b9"	"Gelikman, O."	"\"Cold pastoral\": Werner Herzog's version of empson"	2008	"MLN - Modern Language Notes"	"123"	"5"	"http://doi.org/10.1353/mln.0.0080"
"af292253"	"Song, M.-J., Suh, B.-R."	"The effects of output task types on noticing and learning of the English past counterfactual conditional"	2008	"System"	"36"	"2"	"http://doi.org/10.1016/j.system.2007.09.006"
"cd2d7f42"	"Manning, P."	"A construction-based view of possessive and local case-marking in middle and modern welsh relative clauses"	2008	"Journal of Celtic Linguistics"	"11"	""	"http://doi.org/"
"1d362a2e"	"Graddol, D."	"The ET Column: Thoughts from Kolkata on English in India"	2009	"English Today"	"25"	"4"	"http://doi.org/10.1017/S026607840999040X"
"b36f0a2b"	"Saunders, J.P."	"\"The DNA molecule\": May Swenson confronts modern paradigms"	2009	"Papers on Language and Literature"	"45"	"4"	"http://doi.org/"
"e0537b17"	"During, L."	"Film theory"	2009	"Year's Work in Critical and Cultural Theory"	"17"	"1"	"http://doi.org/10.1093/ywcct/mbp001"
"5270ec75"	"O'Brien, E."	"Games in 'the garden of deceit': A seventeenth-century novella by María de Zayas y Sotomayor"	2009	"Modern Language Review"	"104"	"4"	"http://doi.org/"
"a3a3260d"	"Howe, T.J., Worrall, L.E., Hickson, L.M.H."	"Observing people with aphasia: Environmental factors that influence their community participation"	2008	"Aphasiology"	"22"	"6"	"http://doi.org/10.1080/02687030701536024"
"de60c9ce"	"Riches, C., Curdt-Christiansen, X.L."	"A tale of two montréal communities: Parents' perspectives on their children's language and literacy development in a multilingual context"	2009	"Canadian Modern Language Review"	"66"	"4"	"http://doi.org/10.3138/cmlr.66.4.525"
"39342295"	"Papadimitropoulos, L."	"Xerxes' hubris and darius in aeschylus' persae"	2008	"Mnemosyne"	"61"	"3"	"http://doi.org/10.1163/156852507X194746"
"2c0ef3d8"	"Heinemann, S."	"Sot la Nape 52:6 (2005); 53:1–2, 3–4, 5 (2006); Ce fastu? 82 (2006)"	2008	"Zeitschrift fur Romanische Philologie"	"124"	"4"	"http://doi.org/10.1515/zrph.2008.090"
"e2105fd6"	"Sanders, K."	"A portal through time: Queen Gunhild"	2009	"Scandinavian Studies"	"81"	"1"	"http://doi.org/"
"26e25102"	"Billings, S."	"Speaking beauties: Linguistic posturing, language inequality, and the construction of a Tanzanian beauty queen"	2009	"Language in Society"	"38"	"5"	"http://doi.org/10.1017/S0047404509990443"
"4a51061c"	"Heinze, P."	"Let's talk about race, baby: How a White professor teaches White students about White privilege and racism"	2008	"Multicultural Education"	"16"	"1"	"http://doi.org/"
"f74bb78e"	"Utochkin, I.S."	"Redundancy effects of a moving distractor generated by alerting and orienting"	2009	"Attention, Perception, and Psychophysics"	"71"	"8"	"http://doi.org/10.3758/APP.71.8.1825"
"1449c65c"	"Ibertsson, T., Hansson, K., Mäki-Torkko, E., Willstedtsvensson, U., Sahln, B."	"Deaf teenagers with cochlear implants in conversation with hearing peers"	2009	"International Journal of Language and Communication Disorders"	"44"	"3"	"http://doi.org/10.1080/13682820802052067"
"65664fda"	"Wühr, P., Biebl, R."	"Logical recoding of S-R rules can reverse the effects of spatial S-R correspondence"	2009	"Attention, Perception, and Psychophysics"	"71"	"2"	"http://doi.org/10.3758/APP.71.2.248"
"e71ab4fe"	"Hertel, T.J., Sunderman, G."	"Student attitudes toward native and non-native language instructors"	2009	"Foreign Language Annals"	"42"	"3"	"http://doi.org/10.1111/j.1944-9720.2009.01031.x"
"3b3f1818"	"Richard, A.M., Luck, S.J., Hollingworth, A."	"Establishing object correspondence across eye movements: Flexible use of spatiotemporal and surface feature information"	2008	"Cognition"	"109"	"1"	"http://doi.org/10.1016/j.cognition.2008.07.004"
"f7b18953"	"Fulda, J.S."	"Towards a unified theory of 'if\"s-The theory of conditional elements: Further evidence from conditionally self-falsifying utterances"	2009	"Journal of Pragmatics"	"41"	"7"	"http://doi.org/10.1016/j.pragma.2008.12.010"
"59e9b4c3"	"Steeve, R.W., Moore, C.A., Green, J.R., Reilly, K.J., McMurtrey, J.R."	"Babbling, chewing, and sucking: Oromandibular coordination at 9 months"	2008	"Journal of Speech, Language, and Hearing Research"	"51"	"6"	"http://doi.org/10.1044/1092-4388(2008/07-0046)"
"de1c0c2a"	"Dennett, D.C."	"The Part of Cognitive Science That Is Philosophy"	2009	"Topics in Cognitive Science"	"1"	"2"	"http://doi.org/10.1111/j.1756-8765.2009.01015.x"
"6af7a327"	"Preece, S., Martin, P."	"Imagining higher education as a multilingual space"	2009	"Language and Education"	"24"	"1"	"http://doi.org/10.1080/09500780903343070"
"438b825d"	"Eccarius, P., Brentari, D."	"Handshape coding made easier: A theoretically based notation for phonological transcription"	2008	"Sign Language and Linguistics (Online)"	"11"	"1"	"http://doi.org/10.1075/sl&l.11.1.11ecc"
"9e47bf4d"	"Day, S.B., Bartels, D.M."	"Representation over time: The effects of temporal distance on similarity"	2008	"Cognition"	"106"	"3"	"http://doi.org/10.1016/j.cognition.2007.05.013"
"cd7ea984"	"Early, M., Marshall, S."	"Adolescent ESL students' interpretation and appreciation of literary texts: A case study of multimodality"	2008	"Canadian Modern Language Review"	"64"	"3"	"http://doi.org/10.3138/cmlr.64.3.377"
"c1176f86"	"Crasborn, O., Van Der Kooij, E., Waters, D., Woll, B., Mesch, J."	"Frequency distribution and spreading behavior of different types of mouth actions in three sign languages"	2008	"Sign Language and Linguistics (Online)"	"11"	"1"	"http://doi.org/10.1075/sll.11.1.04cra"
"b54add47"	"Gangemi, A."	"Ontologies of public administrations: Towards semantic social networks for citizens, administrations, and enterprises | Ontologie della pubblica amministrazione: Verso reti sociali semantiche per cittadini, amministrazioni e imprese"	2009	"Sistemi Intelligenti"	"21"	"1"	"http://doi.org/10.1422/29055"
"594391b9"	"Drijkoningen, F., Kampers-Manhe, B."	"On inversions and the interpretation of subjects in French"	2008	"Probus"	"20"	"2"	"http://doi.org/10.1515/PRBS.2008.005"
"5a784d06"	"Remael, A., de Houwer, A., Vandekerckhove, R."	"Intralingual open subtitling in Flanders: Audiovisual translation, linguistic variation and audience needs"	2008	"Journal of Specialised Translation"	NA	"10"	"http://doi.org/"
"3cef21af"	"Brown, N.R."	"How metastrategic considerations influence the selection of frequency estimation strategies"	2008	"Journal of Memory and Language"	"58"	"1"	"http://doi.org/10.1016/j.jml.2007.09.004"
"6a665bde"	"Ryan, S."	"Ambivalence and commitment, liberation and challenge: Investigating the attitudes of young Japanese people towards the learning of English"	2009	"Journal of Multilingual and Multicultural Development"	"30"	"5"	"http://doi.org/10.1080/01434630902928447"
"459d7673"	"Hollenback, G.M."	"Polybius’ Description of the kestros"	2009	"Mnemosyne"	"62"	"3"	"http://doi.org/10.1163/156852509X339941"
"cbca96bf"	"Andrews, L."	"Two black women in Russia: Tacit racial identity and the entrepreneurial spirit"	2009	"CLA Journal"	"52"	"4"	"http://doi.org/"
"0fd44a1c"	"Kaye, A.S."	"On the term “International English”"	2008	"English Today"	"15"	"2"	"http://doi.org/10.1017/S0266078400010877"
"29ecdeb1"	"Monderer, D., Tennenholtz, M."	"Strong mediated equilibrium"	2009	"Artificial Intelligence"	"173"	"1"	"http://doi.org/10.1016/j.artint.2008.10.005"
"65cae563"	"Lorenzo, F."	"Instructional discourse in bilingual settings. An empirical study of linguistic adjustments in content and language integrated learning"	2008	"Language Learning Journal"	"36"	"1"	"http://doi.org/10.1080/09571730801988470"
"5161f31f"	"Fox, S., Armstrong, E., Boles, L."	"Conversational treatment in mild aphasia: A case study"	2009	"Aphasiology"	"23"	"7-8"	"http://doi.org/10.1080/02687030802669526"
"426f16e1"	"Stephen, K."	"Writing the relief: Adrian stokes, ben nicholson and the architectonics of surface"	2008	"Word and Image"	"24"	"1"	"http://doi.org/10.1080/o2666280701405960"
"add985eb"	"McCabe, P.J., Sheard, C., Code, C."	"Communication impairment in the AIDS dementia complex (ADC): A case report"	2008	"Journal of Communication Disorders"	"41"	"3"	"http://doi.org/10.1016/j.jcomdis.2007.11.002"
"9b924c10"	"Durieux-Smith, A., Fitzpatrick, E., Whittingham, J."	"Universal newborn hearing screening: A question of evidence"	2008	"International Journal of Audiology"	"47"	"1"	"http://doi.org/10.1080/14992020701703547"
"e7073ddc"	"Holdsworth, M."	"A transgressive story of the flood: Jeanette winterson’s boating for beginners"	2009	"English Text Construction"	"2"	"2"	"http://doi.org/10.1075/etc.2.2.02hol"
"b2034313"	"Murrayand, L., Hourigan, T."	"Blogs for specific purposes: Expressivist or socio-cognitivist approach?"	2008	"ReCALL"	"20"	"1"	"http://doi.org/10.1017/S0958344008000719"
"05f48d0f"	"Doecke, B., Parr, G."	"Imagining a national English curriculum: Connecting with and speaking back to standards-based reforms"	2008	"English in Australia"	"43"	"3"	"http://doi.org/"
"e14624c2"	"Weber, B.H."	"On the emergence of living systems"	2009	"Biosemiotics"	"2"	"3"	"http://doi.org/10.1007/s12304-009-9060-6"
"46cd5e2d"	"Sawaki, Y., Kim, H.-J., Gentile, C."	"Q-matrix construction: Defining the link between constructs and test items in large-scale reading and listening comprehension assessments"	2009	"Language Assessment Quarterly"	"6"	"3"	"http://doi.org/10.1080/15434300902801917"
"c57f268d"	"Brisard, F., Laarman, E., Nicoladis, E."	"Clausal order and the acquisition of Dutch deverbal compounds"	2008	"Morphology"	"18"	"2"	"http://doi.org/10.1007/s11525-009-9127-8"
"22a19a9f"	"Kemmerer, D., Tranel, D., Zdanczyk, C."	"Knowledge of the semantic constraints on adjective order can be selectively impaired"	2009	"Journal of Neurolinguistics"	"22"	"1"	"http://doi.org/10.1016/j.jneuroling.2008.07.001"
"c02b819f"	"Feldman, A."	"The structuring enemy and archival war"	2009	"PMLA"	"124"	"5"	"http://doi.org/10.1632/pmla.2009.124.5.1704"
"04effe9b"	"Pearrow, M., Cosgrove, L."	"The aftermath of combat-related PTSD: Toward an understanding of transgenerational trauma"	2009	"Communication Disorders Quarterly"	"30"	"2"	"http://doi.org/10.1177/1525740108328227"
