"ID"	"Authors"	"Title"	"Year"	"Source.title"	"Volume"	"Issue"	"clickable_doi"
"f5e8ee81"	"Guo, B.I.N., Satake, S., Imai, M."	"Lowering the Barriers to Participation in the Development of Human-Artifact Interaction Systems"	2008	"International Journal of Semantic Computing"	"2"	"4"	"http://doi.org/10.1142/S1793351X08000555"
"e4e57e89"	"Qiao, X., Forster, K., Witzel, N."	"Is banara really a word?"	2009	"Cognition"	"113"	"2"	"http://doi.org/10.1016/j.cognition.2009.08.006"
"d3252f31"	"Rødnes, K.A."	"Making connections: Categorisations and particularisations in students' literary argument"	2009	"Argumentation"	"23"	"4"	"http://doi.org/10.1007/s10503-009-9166-7"
"84785a7a"	"Padovani, F.H.P., Linhares, M.B.M., Pinto, I.D., Duarte, G., Martinez, F.E."	"Maternal concepts and expectations regarding a preterm infant"	2008	"Spanish Journal of Psychology"	"11"	"2"	"http://doi.org/10.1017/s1138741600004583"
"4a690109"	"Jordan, K.E., Suanda, S.H., Brannon, E.M."	"Intersensory redundancy accelerates preverbal numerical competence"	2008	"Cognition"	"108"	"1"	"http://doi.org/10.1016/j.cognition.2007.12.001"
"86249919"	"Marra, M., Holmes, J."	"Constructing ethnicity in New Zealand workplace stories"	2008	"Text and Talk"	"28"	"3"	"http://doi.org/10.1515/TEXT.2008.019"
"4929696d"	"Woods, D."	"The good soldier's end: From suicide to martyrdom"	2008	"Byzantinoslavica"	"66"	"1-2"	"http://doi.org/"
"ae0ee6eb"	"Alechina, N., Logan, B."	"A logic of situated resource-bounded agents"	2009	"Journal of Logic, Language and Information"	"18"	"1"	"http://doi.org/10.1007/s10849-008-9073-6"
"d015c666"	"Reichl, K."	"Stefan Jurasinski, Ancient Privileges: ‘Beowulf’, Law, and the Making of Germanic Antiquity; John M. Hill, The Narrative Pulse of ‘Beowulf’: Arrivals and Departures"	2008	"Anglia"	"126"	"3"	"http://doi.org/10.1515/angl.2008.071"
"8d140ee3"	"Rand, E.J."	"An inflammatory fag and a queer form: Larry Kramer, polemics, and rhetorical agency"	2008	"Quarterly Journal of Speech"	"94"	"3"	"http://doi.org/10.1080/00335630802210377"
"110f5982"	"Young, M.Y.C."	"Multilingual education in Macao"	2009	"International Journal of Multilingualism"	"6"	"4"	"http://doi.org/10.1080/14790710802152438"
"a3e28892"	"Krysko, V."	"On the edition of the February Menaion"	2009	"Russian Linguistics"	"33"	"1"	"http://doi.org/10.1007/s11185-008-9032-5"
"40bef04b"	"Hamp, E.P."	"An etymological note on english Ta and Ta-Ta"	2008	"NOWELE"	"53"	"1"	"http://doi.org/10.1075/nowele.53.05ham"
"e73f95a3"	"Lee, D.-Y., Yonezawa, Y."	"The role of the overt expression of first and second person subject in Japanese"	2008	"Journal of Pragmatics"	"40"	"4"	"http://doi.org/10.1016/j.pragma.2007.06.004"
"bc724149"	"Berman, M.G., Jonides, J., Lewis, R.L."	"In Search of Decay in Verbal Short-Term Memory"	2009	"Journal of Experimental Psychology: Learning Memory and Cognition"	"35"	"2"	"http://doi.org/10.1037/a0014873"
"ec4e5a4d"	"Wühr, P., Biebl, R."	"Logical recoding of S-R rules can reverse the effects of spatial S-R correspondence"	2009	"Attention, Perception, and Psychophysics"	"71"	"2"	"http://doi.org/10.3758/APP.71.2.248"
"4814b124"	"Kristiansen, T."	"The macro-level social meanings of late-modern Danish accents"	2009	"Acta Linguistica Hafniensia"	"41"	"1"	"http://doi.org/10.1080/03740460903364219"
"44bb1d7e"	"Johansson, M."	"Presentation of the political self: Commitment in electoral media dialogue"	2008	"Journal of Language and Social Psychology"	"27"	"4"	"http://doi.org/10.1177/0261927X08322482"
"324a5a78"	"Leone, G., Curigliano, G."	"Coping with collective responsibilities an explorative study on Italian historical identity across three generations"	2009	"Journal of Language and Politics"	"8"	"2"	"http://doi.org/10.1075/jlp.8.2.07leo"
"a77780ba"	"Mészáros, T."	"Some thoughts on the fragments of antiphon"	2008	"Acta Antiqua Academiae Scientiarum Hungaricae"	"48"	"1"	"http://doi.org/10.1556/AAnt.48.2008.1-2.22"
"421b4ed4"	"Rispoli, M., Hadley, P., Holt, J."	"Stalls and revisions: A developmental perspective on sentence production"	2008	"Journal of Speech, Language, and Hearing Research"	"51"	"4"	"http://doi.org/10.1044/1092-4388(2008/070)"
"18863a14"	"Baumgarten, N., Meyer, B., Özçetin, D."	"Explicitness in translation and interpreting: A critical review and some empirical evidence (of an elusive concept)"	2008	"Across Languages and Cultures"	"9"	"2"	"http://doi.org/10.1556/Acr.9.2008.2.2"
"cd78f2d5"	"Robbins, J., Butler, S.G., Daniels, S.K., Gross, R.D., Langmore, S., Lazarus, C.L., Martin-Harris, B., McCabe, D., Musson, N., Rosenbek, J.C."	"Swallowing and dysphagia rehabilitation: Translating principles of neural plasticity into clinically oriented evidence"	2008	"Journal of Speech, Language, and Hearing Research"	"51"	"1"	"http://doi.org/10.1044/1092-4388(2008/021)"
"ebdb682b"	"Bobda, A.S."	"The meaning of English words across cultures, with a focus on Cameroon and Hong Kong"	2009	"Journal of Multilingual and Multicultural Development"	"30"	"5"	"http://doi.org/10.1080/01434630802147882"
"fdaece0e"	"Mears, B."	"Symbols of coins of the vijayanagara empire"	2008	"South Asian Studies"	"24"	"1"	"http://doi.org/10.1080/02666030.2008.9628684"
"32c97897"	"Culicover, P.W., Winkler, S."	"English focus inversion"	2008	"Journal of Linguistics"	"44"	"3"	"http://doi.org/10.1017/S0022226708005343"
"cc4534c3"	"Longhurst, C.A."	"Unamuno, the reader, and the hermeneutical gap"	2008	"Modern Language Review"	"103"	"3"	"http://doi.org/10.2307/20467909"
"0594a40e"	"Verschueren, J."	"Intercultural communication and the challenges of migration"	2008	"Language and Intercultural Communication"	"8"	"1"	"http://doi.org/10.2167/laic298.0"
"030e8399"	"Johnson, M."	"Essay Unsung Heroes Building an Actor-Centered Company at Oregon Shakespeare Festival An Interview with John Sipes &amp; Scott Kaiser"	2009	"Voice and Speech Review"	"6"	"1"	"http://doi.org/10.1080/23268263.2009.10761521"
"b17e2a9f"	"Nivre, J."	"Algorithms for deterministic incremental dependency parsing"	2008	"Computational Linguistics"	"34"	"4"	"http://doi.org/10.1162/coli.07-056-R1-07-027"
"b2caaf30"	"Vellutino, F.R., Scanlon, D.M., Zhang, H., Schatschneider, C."	"Using response to kindergarten and first grade intervention to identify children at-risk for long-term reading difficulties"	2008	"Reading and Writing"	"21"	"4"	"http://doi.org/10.1007/s11145-007-9098-2"
"aadeb975"	"[No author name available]"	"Literary politics and the euripidean vita"	2008	"Cambridge Classical Journal"	NA	"54"	"http://doi.org/"
"85f82882"	"Boehrer, B."	"Animal studies and the deconstruction of character"	2009	"PMLA"	"124"	"2"	"http://doi.org/10.1632/pmla.2009.124.2.542"
"ada16762"	"Beaudoin, C.E."	"Exploring the association between news use and social capital: Evidence of variance by ethnicity and medium"	2009	"Communication Research"	"36"	"5"	"http://doi.org/10.1177/0093650209338905"
"9e25d565"	"Wolbers, K.A."	"Using asl and print-based sign to build fluency and greater independence with written english among deaf students"	2009	"L1 Educational Studies in Language and Literature"	"10"	"1"	"http://doi.org/10.17239/l1esll-2010.10.01.05"
"b3827e15"	"Niemi, S."	"Compounds in Swedish"	2009	"Lingue e Linguaggio"	"8"	"2"	"http://doi.org/10.1418/30930"
"a234d52c"	"Ghorashi, S., Enns, J.T., Spalek, T.M., Di Lollo, V."	"Spatial cuing does not affect the magnitude of the attentional blink"	2009	"Attention, Perception, and Psychophysics"	"71"	"5"	"http://doi.org/10.3758/APP.71.5.989"
"961c2ba3"	"King, N."	"What will hatch? a constructivist autobiographical account of writing poetry"	2008	"Journal of Constructivist Psychology"	"21"	"4"	"http://doi.org/10.1080/10720530802255202"
"c348a61f"	"Anisimova, O."	"Syntactic functions of modal words in modern Mari"	2008	"Linguistica Uralica"	"44"	"3"	"http://doi.org/10.3176/lu.2008.3.04"
"e6e827bd"	"Burns, A., Kim, M., Matthiessen, C.M.I.M."	"Doctoral work in translation studies as an interdisciplinary mutual learning process: How a translator, teacher educator and linguistic typologist worked together"	2009	"Interpreter and Translator Trainer"	"3"	"1"	"http://doi.org/10.1080/1750399X.2009.10798783"
"522361d8"	"Mihelj, S., Bajt, V., Pankov, M."	"Television news, narrative conventions and national imagination"	2009	"Discourse and Communication"	"3"	"1"	"http://doi.org/10.1177/1750481308098764"
"e1bd5102"	"Howe, T.J., Worrall, L.E., Hickson, L.M.H."	"Observing people with aphasia: Environmental factors that influence their community participation"	2008	"Aphasiology"	"22"	"6"	"http://doi.org/10.1080/02687030701536024"
"75460325"	"Schulze, M., Penner, N."	"Construction grammar in ICALL"	2008	"Computer Assisted Language Learning"	"21"	"5"	"http://doi.org/10.1080/09588220802447727"
"d6e844f3"	"Golestani, N., Zatorre, R.J."	"Individual differences in the acquisition of second language phonology"	2009	"Brain and Language"	"109"	"2-3"	"http://doi.org/10.1016/j.bandl.2008.01.005"
"86b7deca"	"Hayashi, A."	"Student preconceptions of japanese language learning in 1989 and 2004"	2009	"Foreign Language Annals"	"42"	"4"	"http://doi.org/10.1111/j.1944-9720.2009.01049.x"
"1a7e0442"	"Bowman, P.J."	"Fontane and the programmatic realists: Contrasting theories of the novel"	2008	"Modern Language Review"	"103"	"1"	"http://doi.org/"
"d9581da6"	"Hill, K., Sabet, M."	"Dynamic speaking assessments"	2009	"TESOL Quarterly"	"43"	"3"	"http://doi.org/10.1002/j.1545-7249.2009.tb00251.x"
"69fc31ff"	"Senay, I., Keysar, B."	"Keeping track of speaker's perspective: The role of social identity"	2009	"Discourse Processes"	"46"	"5"	"http://doi.org/10.1080/01638530902959596"
"f5bd19e7"	"Takács, G."	"Dangla-migama and afro-asiatic ii: Bidiya č- and"	2009	"Lingua Posnaniensis"	"51"	"1"	"http://doi.org/10.2478/v10122-009-0007-9"
"b27d3321"	"Magos, K., Politi, F."	"The creative second language lesson: The contribution of the role-play technique to the teaching of a second language in immigrant classes"	2008	"RELC Journal"	"39"	"1"	"http://doi.org/10.1177/0033688208091142"
"c650d621"	"Hüttenrauch, H., Topp, E.A., Eklundh, K.S."	"The art of gate-crashing bringing HRI into users homes"	2009	"Interaction Studies"	"10"	"3"	"http://doi.org/10.1075/is.10.3.02hut"
"b70e24e4"	"Kutz, W."	"Wie heißt „Babyklappe‟ auf Spanisch? Entsprechungslücken als dolmetschspezifischer Problemfall"	2009	"Lebende Sprachen"	"54"	"3"	"http://doi.org/10.1515/les.2009.027"
